company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
033100,2017-06-18,4,1,2.25,0.25
033100,2017-06-19,8,4,2.5,0.5
033100,2017-06-20,20,3,1.65,0.15
033100,2017-06-21,11,3,2.1818181818181817,0.2727272727272727
033100,2017-06-22,17,4,1.9411764705882353,0.23529411764705882
033100,2017-06-23,12,3,2.0833333333333335,0.25
033100,2017-06-24,13,0,1.1538461538461537,0.0
080220,2017-06-19,1,0,2.0,0.0
080220,2017-06-20,4,0,1.0,0.0
080220,2017-06-21,1,0,2.0,0.0
080220,2017-06-23,3,0,0.6666666666666666,0.0
105560,2017-06-19,2,0,1.5,0.0
105560,2017-06-20,2,1,2.5,0.5
105560,2017-06-21,1,0,2.0,0.0
105560,2017-06-22,3,1,2.3333333333333335,0.3333333333333333
105560,2017-06-23,2,1,2.5,0.5
105560,2017-06-24,1,0,2.0,0.0
190510,2017-06-19,3,1,1.6666666666666667,0.3333333333333333
190510,2017-06-20,1,0,0.0,0.0
190510,2017-06-22,5,1,1.8,0.2
190510,2017-06-23,3,0,0.3333333333333333,0.0
000660,2017-06-25,243,32,1.860082304526749,0.13168724279835392
000660,2017-06-26,426,127,1.8497652582159625,0.2981220657276995
000660,2017-06-27,493,152,1.8742393509127788,0.30831643002028397
000660,2017-06-28,592,138,1.6537162162162162,0.23310810810810811
000660,2017-06-29,331,73,1.7129909365558913,0.22054380664652568
000660,2017-06-30,271,75,1.7232472324723247,0.2767527675276753
000660,2017-07-01,86,19,1.6627906976744187,0.22093023255813954
005380,2017-06-25,11,4,2.272727272727273,0.36363636363636365
005380,2017-06-26,15,4,1.4666666666666666,0.26666666666666666
005380,2017-06-27,48,8,1.0416666666666667,0.16666666666666666
005380,2017-06-28,18,5,1.6111111111111112,0.2777777777777778
005380,2017-06-29,34,1,1.2058823529411764,0.029411764705882353
005380,2017-06-30,51,4,1.0196078431372548,0.0784313725490196
005380,2017-07-01,60,9,1.4833333333333334,0.15
005930,2017-06-25,68,5,1.3529411764705883,0.07352941176470588
005930,2017-06-26,153,32,1.65359477124183,0.20915032679738563
005930,2017-06-27,84,5,1.2976190476190477,0.05952380952380952
005930,2017-06-28,82,14,1.3170731707317074,0.17073170731707318
005930,2017-06-29,81,15,1.271604938271605,0.18518518518518517
005930,2017-06-30,133,14,1.4285714285714286,0.10526315789473684
005930,2017-07-01,44,4,1.75,0.09090909090909091
033100,2017-06-25,18,5,1.6666666666666667,0.2777777777777778
033100,2017-06-26,21,3,1.0952380952380953,0.14285714285714285
033100,2017-06-27,7,2,1.7142857142857142,0.2857142857142857
