date,close,operating_income
04/01/2016,14385,2281710000
05/01/2016,15638,2281710000
06/01/2016,16541,2281710000
07/01/2016,16215,2281710000
08/01/2016,17668,2281710000
11/01/2016,17593,2281710000
12/01/2016,17142,2281710000
13/01/2016,17092,2281710000
14/01/2016,16741,2281710000
15/01/2016,17719,2281710000
18/01/2016,17668,2281710000
19/01/2016,17042,2281710000
20/01/2016,16541,2281710000
21/01/2016,16992,2281710000
22/01/2016,17142,2281710000
25/01/2016,17543,2281710000
26/01/2016,17343,2281710000
27/01/2016,17919,2281710000
28/01/2016,17443,2281710000
29/01/2016,17318,2281710000
01/02/2016,18596,2281710000
02/02/2016,17919,2281710000
03/02/2016,17618,2281710000
04/02/2016,18270,2281710000
05/02/2016,19298,2281710000
11/02/2016,18320,2281710000
12/02/2016,16290,2281710000
15/02/2016,16992,2281710000
16/02/2016,17794,2281710000
17/02/2016,18220,2281710000
18/02/2016,18646,2281710000
19/02/2016,20275,2281710000
22/02/2016,18972,2281710000
23/02/2016,19598,2281710000
24/02/2016,19523,2281710000
25/02/2016,20776,2281710000
26/02/2016,19724,2281710000
29/02/2016,19172,2281710000
02/03/2016,19298,2281710000
03/03/2016,18796,2281710000
04/03/2016,18696,2281710000
07/03/2016,18044,2281710000
08/03/2016,17944,2281710000
09/03/2016,17969,2281710000
10/03/2016,19122,2281710000
11/03/2016,18897,2281710000
14/03/2016,18771,2281710000
15/03/2016,18320,2281710000
16/03/2016,18295,2281710000
17/03/2016,17794,2281710000
18/03/2016,17919,2281710000
21/03/2016,17919,2281710000
22/03/2016,17744,2281710000
23/03/2016,17694,2281710000
24/03/2016,17694,2281710000
25/03/2016,18120,2281710000
28/03/2016,18145,2281710000
29/03/2016,18120,2281710000
30/03/2016,18195,2281710000
31/03/2016,18746,2281710000
01/04/2016,18796,1603390000
04/04/2016,18646,1603390000
05/04/2016,18420,1603390000
06/04/2016,18195,1603390000
07/04/2016,17819,1603390000
08/04/2016,17568,1603390000
11/04/2016,16566,1603390000
12/04/2016,16340,1603390000
14/04/2016,16090,1603390000
15/04/2016,16616,1603390000
18/04/2016,16039,1603390000
19/04/2016,16365,1603390000
20/04/2016,16516,1603390000
21/04/2016,16390,1603390000
22/04/2016,15764,1603390000
25/04/2016,14987,1603390000
26/04/2016,14786,1603390000
27/04/2016,14260,1603390000
28/04/2016,14536,1603390000
29/04/2016,14285,1603390000
02/05/2016,13784,1603390000
03/05/2016,13533,1603390000
04/05/2016,13684,1603390000
09/05/2016,13709,1603390000
10/05/2016,14059,1603390000
11/05/2016,14009,1603390000
12/05/2016,14160,1603390000
13/05/2016,13784,1603390000
16/05/2016,14009,1603390000
17/05/2016,13533,1603390000
18/05/2016,13007,1603390000
19/05/2016,12531,1603390000
20/05/2016,11528,1603390000
23/05/2016,11453,1603390000
24/05/2016,11415,1603390000
25/05/2016,12080,1603390000
26/05/2016,11704,1603390000
27/05/2016,12380,1603390000
30/05/2016,12130,1603390000
31/05/2016,13408,1603390000
01/06/2016,13308,1603390000
02/06/2016,13834,1603390000
03/06/2016,14536,1603390000
07/06/2016,14686,1603390000
08/06/2016,14761,1603390000
09/06/2016,14385,1603390000
10/06/2016,14611,1603390000
13/06/2016,14360,1603390000
14/06/2016,14385,1603390000
15/06/2016,13909,1603390000
16/06/2016,13784,1603390000
17/06/2016,13433,1603390000
20/06/2016,13508,1603390000
21/06/2016,13182,1603390000
22/06/2016,13408,1603390000
23/06/2016,13182,1603390000
24/06/2016,12330,1603390000
27/06/2016,12330,1603390000
28/06/2016,12581,1603390000
29/06/2016,12856,1603390000
30/06/2016,13032,1603390000
01/07/2016,13784,363070000
04/07/2016,13533,363070000
05/07/2016,13809,363070000
06/07/2016,13533,363070000
07/07/2016,13784,363070000
08/07/2016,14135,363070000
11/07/2016,14085,363070000
12/07/2016,15062,363070000
13/07/2016,17267,363070000
14/07/2016,17293,363070000
15/07/2016,16666,363070000
18/07/2016,17267,363070000
19/07/2016,16516,363070000
20/07/2016,16491,363070000
21/07/2016,16791,363070000
22/07/2016,16365,363070000
25/07/2016,15739,363070000
26/07/2016,15313,363070000
27/07/2016,16039,363070000
28/07/2016,16992,363070000
29/07/2016,16992,363070000
01/08/2016,16766,363070000
02/08/2016,16390,363070000
03/08/2016,17393,363070000
04/08/2016,17117,363070000
05/08/2016,16917,363070000
08/08/2016,17042,363070000
09/08/2016,16791,363070000
10/08/2016,17293,363070000
11/08/2016,17293,363070000
12/08/2016,17167,363070000
16/08/2016,16741,363070000
17/08/2016,16491,363070000
18/08/2016,16917,363070000
19/08/2016,18044,363070000
22/08/2016,17919,363070000
23/08/2016,17994,363070000
24/08/2016,17869,363070000
25/08/2016,18295,363070000
26/08/2016,17819,363070000
29/08/2016,16741,363070000
30/08/2016,17067,363070000
31/08/2016,17067,363070000
01/09/2016,16816,363070000
02/09/2016,17117,363070000
05/09/2016,17117,363070000
06/09/2016,16841,363070000
07/09/2016,16516,363070000
08/09/2016,16365,363070000
09/09/2016,15288,363070000
12/09/2016,14034,363070000
13/09/2016,13608,363070000
19/09/2016,13784,363070000
20/09/2016,14636,363070000
21/09/2016,15137,363070000
22/09/2016,15338,363070000
23/09/2016,15338,363070000
26/09/2016,15313,363070000
27/09/2016,15638,363070000
28/09/2016,15413,363070000
29/09/2016,15739,363070000
30/09/2016,15638,363070000
04/10/2016,15262,-4917680000
05/10/2016,14912,-4917680000
06/10/2016,14711,-4917680000
07/10/2016,14786,-4917680000
10/10/2016,14736,-4917680000
11/10/2016,14360,-4917680000
12/10/2016,14110,-4917680000
13/10/2016,13934,-4917680000
14/10/2016,14210,-4917680000
17/10/2016,13734,-4917680000
18/10/2016,13383,-4917680000
19/10/2016,13308,-4917680000
20/10/2016,13684,-4917680000
21/10/2016,13533,-4917680000
24/10/2016,13809,-4917680000
25/10/2016,13884,-4917680000
26/10/2016,13784,-4917680000
27/10/2016,14260,-4917680000
28/10/2016,14160,-4917680000
31/10/2016,13458,-4917680000
01/11/2016,13358,-4917680000
02/11/2016,13232,-4917680000
03/11/2016,12932,-4917680000
04/11/2016,12957,-4917680000
07/11/2016,12957,-4917680000
08/11/2016,12606,-4917680000
09/11/2016,12455,-4917680000
10/11/2016,12907,-4917680000
11/11/2016,12831,-4917680000
14/11/2016,12731,-4917680000
15/11/2016,12330,-4917680000
16/11/2016,12067,-4917680000
17/11/2016,11816,-4917680000
18/11/2016,12029,-4917680000
21/11/2016,11679,-4917680000
22/11/2016,11177,-4917680000
23/11/2016,11278,-4917680000
24/11/2016,11628,-4917680000
25/11/2016,11741,-4917680000
28/11/2016,11641,-4917680000
29/11/2016,11904,-4917680000
30/11/2016,12343,-4917680000
01/12/2016,12506,-4917680000
02/12/2016,12493,-4917680000
05/12/2016,12443,-4917680000
06/12/2016,12706,-4917680000
07/12/2016,12506,-4917680000
08/12/2016,12556,-4917680000
09/12/2016,12393,-4917680000
12/12/2016,13032,-4917680000
13/12/2016,13107,-4917680000
14/12/2016,12907,-4917680000
15/12/2016,12781,-4917680000
16/12/2016,12781,-4917680000
19/12/2016,13784,-4917680000
20/12/2016,13759,-4917680000
21/12/2016,14034,-4917680000
22/12/2016,13383,-4917680000
23/12/2016,13658,-4917680000
26/12/2016,13533,-4917680000
27/12/2016,14034,-4917680000
28/12/2016,14260,-4917680000
29/12/2016,14636,-4917680000
02/01/2017,14511,-6858440000
03/01/2017,14611,-6858440000
04/01/2017,14561,-6858440000
05/01/2017,14636,-6858440000
06/01/2017,14636,-6858440000
09/01/2017,14561,-6858440000
