date,close,operating_income
02/01/2013,31520,8.77946E+12
03/01/2013,30860,8.77946E+12
04/01/2013,30500,8.77946E+12
07/01/2013,30400,8.77946E+12
08/01/2013,30000,8.77946E+12
09/01/2013,30000,8.77946E+12
10/01/2013,30600,8.77946E+12
11/01/2013,30660,8.77946E+12
14/01/2013,31040,8.77946E+12
15/01/2013,30240,8.77946E+12
16/01/2013,29840,8.77946E+12
17/01/2013,29380,8.77946E+12
18/01/2013,29600,8.77946E+12
21/01/2013,29080,8.77946E+12
22/01/2013,29600,8.77946E+12
23/01/2013,29460,8.77946E+12
24/01/2013,29060,8.77946E+12
25/01/2013,28340,8.77946E+12
28/01/2013,27440,8.77946E+12
29/01/2013,28180,8.77946E+12
30/01/2013,28800,8.77946E+12
31/01/2013,28960,8.77946E+12
01/02/2013,28820,8.77946E+12
04/02/2013,28740,8.77946E+12
05/02/2013,28700,8.77946E+12
06/02/2013,28540,8.77946E+12
07/02/2013,28400,8.77946E+12
08/02/2013,29240,8.77946E+12
12/02/2013,29360,8.77946E+12
13/02/2013,29740,8.77946E+12
14/02/2013,29800,8.77946E+12
15/02/2013,29960,8.77946E+12
18/02/2013,29800,8.77946E+12
19/02/2013,29840,8.77946E+12
20/02/2013,30900,8.77946E+12
21/02/2013,31000,8.77946E+12
22/02/2013,30600,8.77946E+12
25/02/2013,30600,8.77946E+12
26/02/2013,30540,8.77946E+12
27/02/2013,30540,8.77946E+12
28/02/2013,30880,8.77946E+12
04/03/2013,30780,8.77946E+12
05/03/2013,31000,8.77946E+12
06/03/2013,31200,8.77946E+12
07/03/2013,30400,8.77946E+12
08/03/2013,29980,8.77946E+12
11/03/2013,30160,8.77946E+12
12/03/2013,29880,8.77946E+12
13/03/2013,30540,8.77946E+12
14/03/2013,30400,8.77946E+12
15/03/2013,29600,8.77946E+12
18/03/2013,28900,8.77946E+12
19/03/2013,29500,8.77946E+12
20/03/2013,29200,8.77946E+12
21/03/2013,29140,8.77946E+12
22/03/2013,29100,8.77946E+12
25/03/2013,29900,8.77946E+12
26/03/2013,30180,8.77946E+12
27/03/2013,30080,8.77946E+12
28/03/2013,30200,8.77946E+12
29/03/2013,30540,8.77946E+12
01/04/2013,30240,9.53068E+12
02/04/2013,30500,9.53068E+12
03/04/2013,30420,9.53068E+12
04/04/2013,30120,9.53068E+12
05/04/2013,30100,9.53068E+12
08/04/2013,30400,9.53068E+12
09/04/2013,30560,9.53068E+12
10/04/2013,30420,9.53068E+12
11/04/2013,30800,9.53068E+12
12/04/2013,30340,9.53068E+12
15/04/2013,30460,9.53068E+12
16/04/2013,30560,9.53068E+12
17/04/2013,30360,9.53068E+12
18/04/2013,29660,9.53068E+12
19/04/2013,29500,9.53068E+12
22/04/2013,30060,9.53068E+12
23/04/2013,29660,9.53068E+12
24/04/2013,29720,9.53068E+12
25/04/2013,29880,9.53068E+12
26/04/2013,29720,9.53068E+12
29/04/2013,29620,9.53068E+12
30/04/2013,30400,9.53068E+12
02/05/2013,30560,9.53068E+12
03/05/2013,30700,9.53068E+12
06/05/2013,30280,9.53068E+12
07/05/2013,29860,9.53068E+12
08/05/2013,29760,9.53068E+12
09/05/2013,30300,9.53068E+12
10/05/2013,29520,9.53068E+12
13/05/2013,29540,9.53068E+12
14/05/2013,30000,9.53068E+12
15/05/2013,30000,9.53068E+12
16/05/2013,30160,9.53068E+12
20/05/2013,29940,9.53068E+12
21/05/2013,29840,9.53068E+12
22/05/2013,30180,9.53068E+12
23/05/2013,29680,9.53068E+12
24/05/2013,29720,9.53068E+12
27/05/2013,29780,9.53068E+12
28/05/2013,29680,9.53068E+12
29/05/2013,30240,9.53068E+12
30/05/2013,30880,9.53068E+12
31/05/2013,30760,9.53068E+12
03/06/2013,30640,9.53068E+12
04/06/2013,30800,9.53068E+12
05/06/2013,30420,9.53068E+12
07/06/2013,28540,9.53068E+12
10/06/2013,28500,9.53068E+12
11/06/2013,27780,9.53068E+12
12/06/2013,27700,9.53068E+12
13/06/2013,27140,9.53068E+12
14/06/2013,27380,9.53068E+12
17/06/2013,27320,9.53068E+12
18/06/2013,27740,9.53068E+12
19/06/2013,27380,9.53068E+12
20/06/2013,26580,9.53068E+12
21/06/2013,26500,9.53068E+12
24/06/2013,26260,9.53068E+12
25/06/2013,25940,9.53068E+12
26/06/2013,25220,9.53068E+12
27/06/2013,26780,9.53068E+12
28/06/2013,26840,9.53068E+12
01/07/2013,26520,1.01636E+13
02/07/2013,26700,1.01636E+13
03/07/2013,26020,1.01636E+13
04/07/2013,26340,1.01636E+13
05/07/2013,25340,1.01636E+13
08/07/2013,24520,1.01636E+13
09/07/2013,24740,1.01636E+13
10/07/2013,24960,1.01636E+13
11/07/2013,26240,1.01636E+13
12/07/2013,26240,1.01636E+13
15/07/2013,26260,1.01636E+13
