date,close,operating_income
02/01/2013,8630,-1638530000
03/01/2013,8650,-1638530000
04/01/2013,8800,-1638530000
07/01/2013,8790,-1638530000
08/01/2013,8880,-1638530000
09/01/2013,9600,-1638530000
10/01/2013,9300,-1638530000
11/01/2013,9250,-1638530000
14/01/2013,9240,-1638530000
15/01/2013,9200,-1638530000
16/01/2013,9100,-1638530000
17/01/2013,9100,-1638530000
18/01/2013,8960,-1638530000
21/01/2013,8840,-1638530000
22/01/2013,9240,-1638530000
23/01/2013,8910,-1638530000
24/01/2013,8800,-1638530000
25/01/2013,8940,-1638530000
28/01/2013,8840,-1638530000
29/01/2013,8860,-1638530000
30/01/2013,8820,-1638530000
31/01/2013,8860,-1638530000
01/02/2013,8750,-1638530000
04/02/2013,8700,-1638530000
05/02/2013,8420,-1638530000
06/02/2013,8350,-1638530000
07/02/2013,8580,-1638530000
08/02/2013,8750,-1638530000
12/02/2013,8690,-1638530000
13/02/2013,8580,-1638530000
14/02/2013,8500,-1638530000
15/02/2013,8760,-1638530000
18/02/2013,8730,-1638530000
19/02/2013,8850,-1638530000
20/02/2013,8830,-1638530000
21/02/2013,8530,-1638530000
22/02/2013,8100,-1638530000
25/02/2013,8040,-1638530000
26/02/2013,7490,-1638530000
27/02/2013,6900,-1638530000
28/02/2013,6960,-1638530000
04/03/2013,6900,-1638530000
05/03/2013,7170,-1638530000
06/03/2013,8240,-1638530000
07/03/2013,8260,-1638530000
08/03/2013,7910,-1638530000
11/03/2013,6730,-1638530000
12/03/2013,5730,-1638530000
13/03/2013,5350,-1638530000
14/03/2013,4550,-1638530000
15/03/2013,4530,-1638530000
18/03/2013,4420,-1638530000
19/03/2013,4635,-1638530000
20/03/2013,4535,-1638530000
21/03/2013,3855,-1638530000
22/03/2013,4045,-1638530000
25/03/2013,4650,-1638530000
26/03/2013,4655,-1638530000
27/03/2013,4500,-1638530000
28/03/2013,4200,-1638530000
29/03/2013,4830,-1638530000
01/04/2013,4805,-1703080000
02/04/2013,4555,-1703080000
03/04/2013,4520,-1703080000
04/04/2013,4295,-1703080000
05/04/2013,4150,-1703080000
08/04/2013,4030,-1703080000
09/04/2013,4080,-1703080000
10/04/2013,4205,-1703080000
11/04/2013,4285,-1703080000
12/04/2013,4165,-1703080000
15/04/2013,4360,-1703080000
16/04/2013,4530,-1703080000
17/04/2013,4535,-1703080000
18/04/2013,4450,-1703080000
19/04/2013,4160,-1703080000
22/04/2013,4170,-1703080000
23/04/2013,4160,-1703080000
24/04/2013,4405,-1703080000
25/04/2013,4200,-1703080000
26/04/2013,4475,-1703080000
29/04/2013,4400,-1703080000
30/04/2013,4710,-1703080000
02/05/2013,5410,-1703080000
03/05/2013,5490,-1703080000
06/05/2013,5440,-1703080000
07/05/2013,5460,-1703080000
08/05/2013,5700,-1703080000
09/05/2013,5740,-1703080000
10/05/2013,5350,-1703080000
13/05/2013,5540,-1703080000
14/05/2013,5770,-1703080000
15/05/2013,5530,-1703080000
16/05/2013,5510,-1703080000
20/05/2013,5330,-1703080000
21/05/2013,5550,-1703080000
22/05/2013,5650,-1703080000
23/05/2013,5650,-1703080000
24/05/2013,5800,-1703080000
27/05/2013,5860,-1703080000
28/05/2013,5760,-1703080000
29/05/2013,5850,-1703080000
30/05/2013,5690,-1703080000
31/05/2013,5450,-1703080000
03/06/2013,5300,-1703080000
04/06/2013,5020,-1703080000
05/06/2013,4500,-1703080000
07/06/2013,4370,-1703080000
10/06/2013,4765,-1703080000
11/06/2013,4680,-1703080000
12/06/2013,4645,-1703080000
13/06/2013,4525,-1703080000
14/06/2013,4425,-1703080000
17/06/2013,4200,-1703080000
18/06/2013,4400,-1703080000
19/06/2013,4320,-1703080000
20/06/2013,4230,-1703080000
21/06/2013,4050,-1703080000
24/06/2013,3805,-1703080000
25/06/2013,3335,-1703080000
26/06/2013,3555,-1703080000
27/06/2013,4055,-1703080000
28/06/2013,4100,-1703080000
01/07/2013,4105,-1412710000
02/07/2013,4090,-1412710000
03/07/2013,3850,-1412710000
04/07/2013,3985,-1412710000
05/07/2013,3940,-1412710000
08/07/2013,3860,-1412710000
09/07/2013,3910,-1412710000
10/07/2013,3830,-1412710000
11/07/2013,3875,-1412710000
12/07/2013,4120,-1412710000
15/07/2013,4135,-1412710000
16/07/2013,4360,-1412710000
17/07/2013,4330,-1412710000
18/07/2013,4340,-1412710000
19/07/2013,4330,-1412710000
22/07/2013,4400,-1412710000
23/07/2013,4380,-1412710000
24/07/2013,4335,-1412710000
25/07/2013,4220,-1412710000
26/07/2013,4300,-1412710000
29/07/2013,4345,-1412710000
30/07/2013,4240,-1412710000
31/07/2013,4400,-1412710000
01/08/2013,4275,-1412710000
02/08/2013,4300,-1412710000
05/08/2013,4140,-1412710000
06/08/2013,4095,-1412710000
07/08/2013,4030,-1412710000
08/08/2013,4050,-1412710000
09/08/2013,4050,-1412710000
12/08/2013,4060,-1412710000
13/08/2013,3985,-1412710000
14/08/2013,4010,-1412710000
16/08/2013,3900,-1412710000
19/08/2013,3950,-1412710000
20/08/2013,3855,-1412710000
21/08/2013,3795,-1412710000
22/08/2013,3650,-1412710000
23/08/2013,3900,-1412710000
26/08/2013,4005,-1412710000
27/08/2013,3895,-1412710000
28/08/2013,3810,-1412710000
29/08/2013,3790,-1412710000
30/08/2013,3670,-1412710000
02/09/2013,3590,-1412710000
03/09/2013,3475,-1412710000
04/09/2013,3500,-1412710000
05/09/2013,3495,-1412710000
06/09/2013,3385,-1412710000
09/09/2013,3395,-1412710000
10/09/2013,3395,-1412710000
11/09/2013,3440,-1412710000
12/09/2013,3450,-1412710000
13/09/2013,3640,-1412710000
16/09/2013,3545,-1412710000
17/09/2013,3585,-1412710000
23/09/2013,3660,-1412710000
24/09/2013,3640,-1412710000
25/09/2013,3600,-1412710000
26/09/2013,3580,-1412710000
27/09/2013,3765,-1412710000
30/09/2013,3850,-1412710000
01/10/2013,3695,-2347710000
02/10/2013,3705,-2347710000
04/10/2013,3735,-2347710000
07/10/2013,3860,-2347710000
08/10/2013,3965,-2347710000
10/10/2013,3995,-2347710000
11/10/2013,4055,-2347710000
14/10/2013,4190,-2347710000
15/10/2013,4275,-2347710000
16/10/2013,4260,-2347710000
17/10/2013,4460,-2347710000
18/10/2013,4515,-2347710000
21/10/2013,4615,-2347710000
22/10/2013,4910,-2347710000
23/10/2013,5000,-2347710000
24/10/2013,5210,-2347710000
25/10/2013,5200,-2347710000
28/10/2013,5200,-2347710000
29/10/2013,4875,-2347710000
30/10/2013,5020,-2347710000
31/10/2013,4960,-2347710000
01/11/2013,4765,-2347710000
04/11/2013,4900,-2347710000
05/11/2013,4855,-2347710000
06/11/2013,4920,-2347710000
07/11/2013,4890,-2347710000
08/11/2013,4300,-2347710000
11/11/2013,4350,-2347710000
12/11/2013,4285,-2347710000
13/11/2013,4400,-2347710000
14/11/2013,4610,-2347710000
15/11/2013,4800,-2347710000
18/11/2013,4750,-2347710000
19/11/2013,4635,-2347710000
20/11/2013,4530,-2347710000
21/11/2013,4480,-2347710000
22/11/2013,4310,-2347710000
25/11/2013,4400,-2347710000
26/11/2013,4460,-2347710000
27/11/2013,4460,-2347710000
28/11/2013,4475,-2347710000
29/11/2013,4480,-2347710000
02/12/2013,4450,-2347710000
03/12/2013,4310,-2347710000
04/12/2013,4410,-2347710000
05/12/2013,4320,-2347710000
06/12/2013,4235,-2347710000
09/12/2013,4150,-2347710000
10/12/2013,4205,-2347710000
11/12/2013,4240,-2347710000
12/12/2013,4120,-2347710000
13/12/2013,4040,-2347710000
16/12/2013,4080,-2347710000
17/12/2013,4060,-2347710000
18/12/2013,3900,-2347710000
19/12/2013,4040,-2347710000
20/12/2013,3970,-2347710000
23/12/2013,3850,-2347710000
24/12/2013,3840,-2347710000
26/12/2013,3880,-2347710000
27/12/2013,3885,-2347710000
30/12/2013,3930,-2347710000
02/01/2014,3995,-2071340000
03/01/2014,4055,-2071340000
06/01/2014,4200,-2071340000
07/01/2014,4300,-2071340000
08/01/2014,4260,-2071340000
09/01/2014,4260,-2071340000
10/01/2014,4230,-2071340000
13/01/2014,4240,-2071340000
14/01/2014,4210,-2071340000
15/01/2014,4220,-2071340000
16/01/2014,4255,-2071340000
17/01/2014,4260,-2071340000
20/01/2014,4150,-2071340000
21/01/2014,4130,-2071340000
22/01/2014,3975,-2071340000
23/01/2014,3900,-2071340000
24/01/2014,3925,-2071340000
27/01/2014,3900,-2071340000
28/01/2014,3990,-2071340000
29/01/2014,3990,-2071340000
03/02/2014,3980,-2071340000
04/02/2014,3925,-2071340000
05/02/2014,3880,-2071340000
06/02/2014,3930,-2071340000
07/02/2014,3820,-2071340000
10/02/2014,3850,-2071340000
11/02/2014,4000,-2071340000
12/02/2014,3995,-2071340000
13/02/2014,3990,-2071340000
14/02/2014,3995,-2071340000
17/02/2014,3930,-2071340000
18/02/2014,3995,-2071340000
19/02/2014,3965,-2071340000
20/02/2014,3930,-2071340000
21/02/2014,3900,-2071340000
24/02/2014,3950,-2071340000
25/02/2014,3940,-2071340000
26/02/2014,3890,-2071340000
27/02/2014,3885,-2071340000
28/02/2014,3870,-2071340000
03/03/2014,3860,-2071340000
04/03/2014,3860,-2071340000
05/03/2014,3825,-2071340000
06/03/2014,3810,-2071340000
07/03/2014,3795,-2071340000
10/03/2014,3795,-2071340000
11/03/2014,3760,-2071340000
12/03/2014,3710,-2071340000
13/03/2014,3690,-2071340000
14/03/2014,3760,-2071340000
17/03/2014,3745,-2071340000
18/03/2014,3705,-2071340000
19/03/2014,3730,-2071340000
20/03/2014,3700,-2071340000
21/03/2014,3725,-2071340000
24/03/2014,3675,-2071340000
25/03/2014,3660,-2071340000
26/03/2014,3580,-2071340000
27/03/2014,3360,-2071340000
28/03/2014,3430,-2071340000
31/03/2014,3435,-2071340000
01/04/2014,3745,-2296070000
02/04/2014,3730,-2296070000
03/04/2014,3650,-2296070000
04/04/2014,3600,-2296070000
07/04/2014,3610,-2296070000
08/04/2014,3550,-2296070000
09/04/2014,3600,-2296070000
10/04/2014,3590,-2296070000
11/04/2014,3485,-2296070000
14/04/2014,3510,-2296070000
15/04/2014,3575,-2296070000
16/04/2014,3630,-2296070000
17/04/2014,3990,-2296070000
18/04/2014,3965,-2296070000
21/04/2014,3875,-2296070000
22/04/2014,4020,-2296070000
23/04/2014,3900,-2296070000
24/04/2014,3840,-2296070000
25/04/2014,3910,-2296070000
28/04/2014,3850,-2296070000
29/04/2014,3755,-2296070000
30/04/2014,3760,-2296070000
02/05/2014,3630,-2296070000
07/05/2014,3475,-2296070000
