date,close,operating_income
02/01/2020,11600,368350000
03/01/2020,11450,368350000
06/01/2020,11300,368350000
07/01/2020,11150,368350000
08/01/2020,10400,368350000
09/01/2020,10800,368350000
10/01/2020,10800,368350000
13/01/2020,10450,368350000
14/01/2020,10450,368350000
15/01/2020,10550,368350000
16/01/2020,10450,368350000
17/01/2020,10550,368350000
20/01/2020,11350,368350000
21/01/2020,11200,368350000
22/01/2020,11050,368350000
23/01/2020,10900,368350000
28/01/2020,9970,368350000
29/01/2020,9720,368350000
30/01/2020,9200,368350000
31/01/2020,8730,368350000
03/02/2020,8460,368350000
04/02/2020,8600,368350000
05/02/2020,8490,368350000
06/02/2020,8900,368350000
07/02/2020,9180,368350000
10/02/2020,9180,368350000
11/02/2020,9300,368350000
12/02/2020,9310,368350000
13/02/2020,9900,368350000
14/02/2020,9690,368350000
17/02/2020,9670,368350000
18/02/2020,9250,368350000
19/02/2020,9430,368350000
20/02/2020,9260,368350000
21/02/2020,8880,368350000
24/02/2020,8010,368350000
25/02/2020,8360,368350000
26/02/2020,8280,368350000
27/02/2020,7980,368350000
28/02/2020,7550,368350000
02/03/2020,7590,368350000
03/03/2020,7870,368350000
04/03/2020,8060,368350000
05/03/2020,8670,368350000
06/03/2020,8530,368350000
09/03/2020,7850,368350000
10/03/2020,7620,368350000
11/03/2020,6700,368350000
12/03/2020,5950,368350000
13/03/2020,4990,368350000
16/03/2020,4580,368350000
17/03/2020,4715,368350000
18/03/2020,4700,368350000
19/03/2020,4000,368350000
20/03/2020,4200,368350000
23/03/2020,3670,368350000
24/03/2020,3985,368350000
25/03/2020,4540,368350000
26/03/2020,4700,368350000
27/03/2020,4900,368350000
30/03/2020,4975,368350000
31/03/2020,5080,368350000
01/04/2020,5570,316380000
02/04/2020,5620,316380000
03/04/2020,5880,316380000
06/04/2020,5950,316380000
07/04/2020,5900,316380000
08/04/2020,6070,316380000
09/04/2020,6230,316380000
10/04/2020,6180,316380000
13/04/2020,5600,316380000
14/04/2020,5740,316380000
16/04/2020,5680,316380000
17/04/2020,5900,316380000
20/04/2020,6520,316380000
21/04/2020,6430,316380000
22/04/2020,6570,316380000
23/04/2020,6750,316380000
24/04/2020,6500,316380000
27/04/2020,6430,316380000
28/04/2020,6480,316380000
29/04/2020,6570,316380000
04/05/2020,6760,316380000
06/05/2020,7370,316380000
07/05/2020,7900,316380000
08/05/2020,9050,316380000
11/05/2020,9350,316380000
12/05/2020,9740,316380000
13/05/2020,10150,316380000
14/05/2020,9750,316380000
15/05/2020,9280,316380000
18/05/2020,8780,316380000
19/05/2020,9150,316380000
20/05/2020,9300,316380000
21/05/2020,9120,316380000
22/05/2020,8920,316380000
25/05/2020,9100,316380000
26/05/2020,9140,316380000
27/05/2020,8920,316380000
28/05/2020,8300,316380000
29/05/2020,8050,316380000
01/06/2020,8340,316380000
02/06/2020,8730,316380000
03/06/2020,8820,316380000
04/06/2020,8840,316380000
05/06/2020,9000,316380000
08/06/2020,8850,316380000
09/06/2020,8400,316380000
10/06/2020,8280,316380000
11/06/2020,8340,316380000
12/06/2020,7850,316380000
15/06/2020,6840,316380000
16/06/2020,7200,316380000
17/06/2020,7350,316380000
18/06/2020,7290,316380000
19/06/2020,7200,316380000
22/06/2020,7310,316380000
23/06/2020,7380,316380000
24/06/2020,7840,316380000
25/06/2020,8280,316380000
26/06/2020,9060,316380000
29/06/2020,9180,316380000
30/06/2020,9380,316380000
01/07/2020,9250,751490000
02/07/2020,9560,751490000
03/07/2020,9620,751490000
06/07/2020,10200,751490000
07/07/2020,9970,751490000
08/07/2020,10500,751490000
09/07/2020,10500,751490000
10/07/2020,11300,751490000
13/07/2020,12300,751490000
14/07/2020,12500,751490000
15/07/2020,13050,751490000
16/07/2020,12750,751490000
17/07/2020,12400,751490000
20/07/2020,12050,751490000
21/07/2020,12050,751490000
22/07/2020,11850,751490000
23/07/2020,11900,751490000
24/07/2020,12350,751490000
27/07/2020,12650,751490000
28/07/2020,13400,751490000
29/07/2020,14200,751490000
30/07/2020,14700,751490000
31/07/2020,14550,751490000
03/08/2020,15200,751490000
04/08/2020,16200,751490000
05/08/2020,16100,751490000
06/08/2020,15300,751490000
07/08/2020,14200,751490000
10/08/2020,13900,751490000
11/08/2020,12300,751490000
12/08/2020,12250,751490000
13/08/2020,12350,751490000
14/08/2020,11050,751490000
18/08/2020,10000,751490000
19/08/2020,10750,751490000
20/08/2020,9890,751490000
21/08/2020,10450,751490000
24/08/2020,10200,751490000
25/08/2020,11650,751490000
26/08/2020,11750,751490000
27/08/2020,12550,751490000
28/08/2020,12350,751490000
31/08/2020,12300,751490000
01/09/2020,11700,751490000
02/09/2020,11950,751490000
03/09/2020,12100,751490000
04/09/2020,12100,751490000
07/09/2020,12200,751490000
08/09/2020,12100,751490000
09/09/2020,12150,751490000
10/09/2020,11950,751490000
