date,close,operating_income
27/01/2022,505000,2.58854E+11
28/01/2022,450000,2.58854E+11
03/02/2022,477000,2.58854E+11
04/02/2022,504000,2.58854E+11
07/02/2022,548000,2.58854E+11
08/02/2022,542000,2.58854E+11
09/02/2022,511000,2.58854E+11
10/02/2022,474500,2.58854E+11
11/02/2022,482000,2.58854E+11
14/02/2022,463000,2.58854E+11
15/02/2022,451500,2.58854E+11
16/02/2022,455500,2.58854E+11
17/02/2022,454500,2.58854E+11
18/02/2022,454500,2.58854E+11
21/02/2022,453000,2.58854E+11
22/02/2022,440000,2.58854E+11
23/02/2022,442000,2.58854E+11
24/02/2022,416500,2.58854E+11
25/02/2022,420000,2.58854E+11
28/02/2022,412000,2.58854E+11
02/03/2022,434000,2.58854E+11
03/03/2022,437000,2.58854E+11
04/03/2022,428500,2.58854E+11
07/03/2022,414000,2.58854E+11
08/03/2022,410500,2.58854E+11
10/03/2022,417500,2.58854E+11
11/03/2022,391000,2.58854E+11
14/03/2022,363500,2.58854E+11
15/03/2022,359500,2.58854E+11
16/03/2022,363500,2.58854E+11
17/03/2022,376000,2.58854E+11
18/03/2022,382000,2.58854E+11
21/03/2022,386000,2.58854E+11
22/03/2022,397500,2.58854E+11
23/03/2022,407000,2.58854E+11
24/03/2022,408000,2.58854E+11
25/03/2022,439000,2.58854E+11
28/03/2022,436500,2.58854E+11
29/03/2022,441000,2.58854E+11
30/03/2022,440500,2.58854E+11
31/03/2022,442000,2.58854E+11
01/04/2022,428000,1.95607E+11
04/04/2022,438500,1.95607E+11
05/04/2022,449000,1.95607E+11
06/04/2022,444500,1.95607E+11
07/04/2022,436500,1.95607E+11
08/04/2022,439500,1.95607E+11
11/04/2022,425000,1.95607E+11
12/04/2022,411000,1.95607E+11
13/04/2022,431000,1.95607E+11
14/04/2022,441000,1.95607E+11
15/04/2022,435000,1.95607E+11
18/04/2022,433000,1.95607E+11
19/04/2022,435500,1.95607E+11
20/04/2022,436500,1.95607E+11
21/04/2022,437000,1.95607E+11
22/04/2022,436500,1.95607E+11
25/04/2022,433000,1.95607E+11
26/04/2022,423500,1.95607E+11
27/04/2022,418000,1.95607E+11
28/04/2022,417500,1.95607E+11
29/04/2022,417000,1.95607E+11
02/05/2022,408500,1.95607E+11
03/05/2022,407500,1.95607E+11
04/05/2022,401500,1.95607E+11
06/05/2022,401500,1.95607E+11
09/05/2022,394000,1.95607E+11
10/05/2022,393500,1.95607E+11
11/05/2022,391500,1.95607E+11
12/05/2022,388000,1.95607E+11
13/05/2022,400500,1.95607E+11
16/05/2022,400500,1.95607E+11
17/05/2022,408500,1.95607E+11
18/05/2022,410000,1.95607E+11
19/05/2022,415500,1.95607E+11
20/05/2022,434000,1.95607E+11
23/05/2022,438000,1.95607E+11
24/05/2022,438500,1.95607E+11
25/05/2022,426500,1.95607E+11
26/05/2022,430500,1.95607E+11
27/05/2022,430500,1.95607E+11
30/05/2022,439500,1.95607E+11
31/05/2022,444000,1.95607E+11
02/06/2022,440500,1.95607E+11
03/06/2022,437500,1.95607E+11
07/06/2022,432000,1.95607E+11
08/06/2022,425500,1.95607E+11
09/06/2022,422500,1.95607E+11
10/06/2022,425000,1.95607E+11
13/06/2022,415000,1.95607E+11
14/06/2022,426500,1.95607E+11
15/06/2022,420000,1.95607E+11
16/06/2022,427000,1.95607E+11
17/06/2022,425500,1.95607E+11
20/06/2022,411500,1.95607E+11
21/06/2022,413000,1.95607E+11
22/06/2022,401000,1.95607E+11
23/06/2022,400000,1.95607E+11
24/06/2022,405000,1.95607E+11
27/06/2022,412000,1.95607E+11
28/06/2022,410500,1.95607E+11
29/06/2022,391500,1.95607E+11
30/06/2022,371000,1.95607E+11
01/07/2022,356500,5.21853E+11
04/07/2022,356000,5.21853E+11
05/07/2022,361500,5.21853E+11
06/07/2022,370500,5.21853E+11
07/07/2022,373500,5.21853E+11
08/07/2022,388000,5.21853E+11
11/07/2022,395000,5.21853E+11
12/07/2022,401000,5.21853E+11
13/07/2022,400000,5.21853E+11
14/07/2022,399500,5.21853E+11
15/07/2022,400000,5.21853E+11
18/07/2022,393000,5.21853E+11
19/07/2022,383000,5.21853E+11
20/07/2022,384000,5.21853E+11
21/07/2022,390500,5.21853E+11
22/07/2022,382000,5.21853E+11
25/07/2022,391000,5.21853E+11
26/07/2022,394000,5.21853E+11
27/07/2022,393500,5.21853E+11
28/07/2022,415500,5.21853E+11
29/07/2022,422000,5.21853E+11
01/08/2022,419500,5.21853E+11
02/08/2022,417000,5.21853E+11
03/08/2022,437000,5.21853E+11
04/08/2022,443000,5.21853E+11
05/08/2022,446000,5.21853E+11
08/08/2022,447000,5.21853E+11
09/08/2022,457500,5.21853E+11
10/08/2022,458000,5.21853E+11
11/08/2022,472000,5.21853E+11
12/08/2022,460500,5.21853E+11
16/08/2022,460500,5.21853E+11
17/08/2022,453500,5.21853E+11
18/08/2022,452000,5.21853E+11
19/08/2022,447000,5.21853E+11
22/08/2022,442500,5.21853E+11
23/08/2022,445000,5.21853E+11
24/08/2022,451000,5.21853E+11
25/08/2022,459000,5.21853E+11
26/08/2022,465500,5.21853E+11
29/08/2022,459500,5.21853E+11
30/08/2022,465500,5.21853E+11
31/08/2022,462500,5.21853E+11
01/09/2022,463000,5.21853E+11
02/09/2022,482000,5.21853E+11
05/09/2022,483000,5.21853E+11
06/09/2022,483500,5.21853E+11
07/09/2022,488000,5.21853E+11
08/09/2022,486500,5.21853E+11
13/09/2022,497000,5.21853E+11
14/09/2022,498500,5.21853E+11
15/09/2022,511000,5.21853E+11
16/09/2022,506000,5.21853E+11
19/09/2022,477500,5.21853E+11
20/09/2022,483500,5.21853E+11
21/09/2022,479500,5.21853E+11
22/09/2022,488500,5.21853E+11
23/09/2022,460500,5.21853E+11
26/09/2022,446500,5.21853E+11
27/09/2022,444000,5.21853E+11
28/09/2022,433500,5.21853E+11
29/09/2022,440000,5.21853E+11
30/09/2022,426500,5.21853E+11
04/10/2022,444500,2.37405E+11
05/10/2022,469000,2.37405E+11
06/10/2022,478000,2.37405E+11
07/10/2022,482500,2.37405E+11
11/10/2022,497500,2.37405E+11
12/10/2022,483000,2.37405E+11
13/10/2022,477000,2.37405E+11
14/10/2022,483000,2.37405E+11
17/10/2022,491500,2.37405E+11
18/10/2022,489000,2.37405E+11
19/10/2022,497500,2.37405E+11
20/10/2022,495000,2.37405E+11
21/10/2022,499000,2.37405E+11
24/10/2022,509000,2.37405E+11
25/10/2022,511000,2.37405E+11
26/10/2022,529000,2.37405E+11
27/10/2022,540000,2.37405E+11
28/10/2022,532000,2.37405E+11
31/10/2022,528000,2.37405E+11
01/11/2022,563000,2.37405E+11
02/11/2022,569000,2.37405E+11
03/11/2022,589000,2.37405E+11
04/11/2022,592000,2.37405E+11
07/11/2022,587000,2.37405E+11
08/11/2022,588000,2.37405E+11
09/11/2022,599000,2.37405E+11
10/11/2022,605000,2.37405E+11
11/11/2022,624000,2.37405E+11
14/11/2022,604000,2.37405E+11
15/11/2022,596000,2.37405E+11
16/11/2022,600000,2.37405E+11
17/11/2022,597000,2.37405E+11
18/11/2022,598000,2.37405E+11
