date,close,operating_income
02/01/2013,2655,330740000
03/01/2013,2664,330740000
04/01/2013,2664,330740000
07/01/2013,2696,330740000
08/01/2013,2674,330740000
09/01/2013,2655,330740000
10/01/2013,2655,330740000
11/01/2013,2623,330740000
14/01/2013,2568,330740000
15/01/2013,2582,330740000
16/01/2013,2610,330740000
17/01/2013,2568,330740000
18/01/2013,2596,330740000
21/01/2013,2651,330740000
22/01/2013,2651,330740000
23/01/2013,2600,330740000
24/01/2013,2532,330740000
25/01/2013,2468,330740000
28/01/2013,2477,330740000
29/01/2013,2486,330740000
30/01/2013,2450,330740000
31/01/2013,2459,330740000
01/02/2013,2427,330740000
04/02/2013,2390,330740000
05/02/2013,2395,330740000
06/02/2013,2413,330740000
07/02/2013,2454,330740000
08/02/2013,2472,330740000
12/02/2013,2468,330740000
13/02/2013,2482,330740000
14/02/2013,2468,330740000
15/02/2013,2477,330740000
18/02/2013,2472,330740000
19/02/2013,2459,330740000
20/02/2013,2477,330740000
21/02/2013,2422,330740000
22/02/2013,2504,330740000
25/02/2013,2450,330740000
26/02/2013,2413,330740000
27/02/2013,2477,330740000
28/02/2013,2472,330740000
04/03/2013,2427,330740000
05/03/2013,2454,330740000
06/03/2013,2445,330740000
07/03/2013,2431,330740000
08/03/2013,2468,330740000
11/03/2013,2468,330740000
12/03/2013,2500,330740000
13/03/2013,2504,330740000
14/03/2013,2518,330740000
15/03/2013,2500,330740000
18/03/2013,2482,330740000
19/03/2013,2454,330740000
20/03/2013,2495,330740000
21/03/2013,2495,330740000
22/03/2013,2523,330740000
25/03/2013,2491,330740000
26/03/2013,2500,330740000
27/03/2013,2578,330740000
28/03/2013,2674,330740000
29/03/2013,2660,330740000
01/04/2013,2769,1473720000
02/04/2013,2724,1473720000
03/04/2013,2715,1473720000
04/04/2013,2651,1473720000
05/04/2013,2669,1473720000
08/04/2013,2788,1473720000
09/04/2013,2788,1473720000
10/04/2013,2884,1473720000
11/04/2013,2870,1473720000
12/04/2013,3222,1473720000
15/04/2013,3551,1473720000
16/04/2013,3656,1473720000
17/04/2013,3601,1473720000
18/04/2013,3482,1473720000
19/04/2013,3272,1473720000
22/04/2013,3327,1473720000
23/04/2013,3551,1473720000
24/04/2013,3606,1473720000
25/04/2013,3478,1473720000
26/04/2013,3501,1473720000
29/04/2013,3496,1473720000
30/04/2013,3821,1473720000
02/05/2013,3848,1473720000
03/05/2013,3917,1473720000
06/05/2013,3629,1473720000
07/05/2013,3720,1473720000
08/05/2013,3565,1473720000
09/05/2013,3620,1473720000
10/05/2013,3601,1473720000
13/05/2013,3597,1473720000
14/05/2013,3725,1473720000
15/05/2013,3747,1473720000
16/05/2013,3711,1473720000
20/05/2013,3752,1473720000
21/05/2013,3958,1473720000
22/05/2013,3926,1473720000
23/05/2013,4470,1473720000
24/05/2013,4314,1473720000
27/05/2013,4003,1473720000
28/05/2013,4159,1473720000
29/05/2013,4150,1473720000
30/05/2013,4191,1473720000
31/05/2013,4223,1473720000
03/06/2013,4022,1473720000
04/06/2013,3793,1473720000
